Protein Complex,COGIDs,,,,,,,,,,,,,,,,,,,,,,,,,,,ECOLI Conservation Percent,ECOLI Protein IDs,MYCTU Conservation Percent,MYCTU Protein IDs,MYCLE Conservation Percent,MYCLE Protein IDs,BUCAI_APS Conservation Percent,BUCAI_APS Protein IDs,BUCAI_Cc Conservation Percent,BUCAI_Cc Protein IDs
RIBONUCLEOSIDE-DIP-REDUCTI-CPLX,COG0209,COG0208,,,,,,,,,,,,,,,,,,,,,,,,,,1,"['RIR3_ECOLI', 'RIR4_ECOLI', 'RIR2_ECOLI', 'RIR1_ECOLI']",1,"['RIR1_MYCTU', 'RIR2A_MYCTU', 'RIR2B_MYCTU', 'NRDZ_MYCTU', 'RIR2H_MYCTU']",1,"['RIR2_MYCLE', 'RIR1_MYCLE']",1,"['RIR1_BUCAI', 'RIR2_BUCAI']",0,[]
SUCC-DEHASE,COG1053,COG0479,COG2009,COG2142,,,,,,,,,,,,,,,,,,,,,,,,1,"['FRDA_ECOLI', 'FRDB_ECOLI', 'DHSC_ECOLI', 'DHSD_ECOLI', 'SDHB_ECOLI', 'SDHA_ECOLI']",1,"['3O1D1_MYCTU', 'O53370_MYCTU', 'O53670_MYCTU', 'FRDB_MYCTU', 'SDHC_MYCTU', 'FRDA_MYCTU', 'O53369_MYCTU', 'O53669_MYCTU', 'Q50616_MYCTU', 'O53371_MYCTU']",1,"['Q9CCM1_MYCLE', 'Q7AQF9_MYCLE', 'Q7AQF8_MYCLE', 'Q9CCM0_MYCLE']",0,[],0,[]
GCVMULTI-CPLX,COG1249,COG1003,COG0509,COG0404,,,,,,,,,,,,,,,,,,,,,,,,1,"['GSHR_ECOLI', 'DLDH_ECOLI', 'GCSP_ECOLI', 'GCSH_ECOLI', 'STHA_ECOLI', 'GCST_ECOLI', 'RCLA_ECOLI']",1,"['STHA_MYCTU', 'DLDH_MYCTU', 'LPDA_MYCTU', 'GCST_MYCTU', 'GCSH_MYCTU', 'I6Y4U4_MYCTU', 'MTR_MYCTU', 'GCSP_MYCTU']",1,"['DLDH_MYCLE', 'GCSH_MYCLE', 'GCSP_MYCLE', 'GCST_MYCLE']",0.25,['DLDH_BUCAI'],0.25,['Q057U0_BUCCC']
PYRUVATEDEH-CPLX,COG2609,COG0508,COG1249,,,,,,,,,,,,,,,,,,,,,,,,,1,"['GSHR_ECOLI', 'ODO2_ECOLI', 'DLDH_ECOLI', 'ODP1_ECOLI', 'STHA_ECOLI', 'ODP2_ECOLI', 'RCLA_ECOLI']",1,"['BKDC_MYCTU', 'STHA_MYCTU', 'KGD_MYCTU', 'Y1734_MYCTU', 'DLDH_MYCTU', 'LPDA_MYCTU', 'ODP2_MYCTU', 'I6Y4U4_MYCTU', 'MTR_MYCTU', 'ODP1_MYCTU']",1,"['DLDH_MYCLE', 'Q7AQE7_MYCLE', 'KGD_MYCLE', 'Q9CBS8_MYCLE']",1,"['DLDH_BUCAI', 'ODP1_BUCAI', 'ODP2_BUCAI', 'ODO2_BUCAI']",1,"['Q057P2_BUCCC', 'Q057U0_BUCCC', 'Q057U2_BUCCC', 'Q057U1_BUCCC']"
ACETYL-COA-CARBOXYLTRANSFER-CPLX,COG0825,COG0777,,,,,,,,,,,,,,,,,,,,,,,,,,1,"['ACCD_ECOLI', 'ACCA_ECOLI']",1,"['ACCD_MYCTU', 'ACCD_MYCTU']",0,[],0,[],0,[]
ACETYL-COA-CARBOXYLMULTI-CPLX,COG0777,COG0825,COG0439,COG0511,,,,,,,,,,,,,,,,,,,,,,,,1,"['ACCD_ECOLI', 'BCCP_ECOLI', 'ACCC_ECOLI', 'ACCA_ECOLI']",1,"['BTB7_MYCTU', 'P71980_MYCTU', 'ACCD_MYCTU', 'ACCD_MYCTU', 'P71538_MYCTU', 'P71538_MYCTU']",0.25,['BTB7_MYCLE'],0,[],0,[]
CYSSYNMULTI-CPLX,COG1045,COG0031,,,,,,,,,,,,,,,,,,,,,,,,,,1,"['WCAB_ECOLI', 'CYSK_ECOLI', 'CYSM_ECOLI', 'CYSE_ECOLI']",1,"['CYSK_MYCTU', 'CYSK2_MYCTU', 'O69652_MYCTU', 'CYSM_MYCTU', 'Y1077_MYCTU', 'CYSE_MYCTU']",1,"['Q7AQF4_MYCLE', 'Q9CB65_MYCLE', 'CYSK_MYCLE']",1,"['CYSK_BUCAI', 'CYSE_BUCAI']",0,[]
ABC-70-CPLX,COG1613,COG4208,COG0555,COG1118,,,,,,,,,,,,,,,,,,,,,,,,1,"['CYSW_ECOLI', 'SUBI_ECOLI', 'CYSA_ECOLI', 'CYST_ECOLI']",1,"['CYSA_MYCTU', 'P71746_MYCTU', 'P71745_MYCTU', 'P71744_MYCTU', 'MODC_MYCTU']",0.25,['Q9CCN3_MYCLE'],0,[],0,[]
ABC-7-CPLX,COG1118,COG4208,COG0555,COG4150,,,,,,,,,,,,,,,,,,,,,,,,1,"['CYSW_ECOLI', 'CYSP_ECOLI', 'CYSA_ECOLI', 'CYST_ECOLI']",0.75,"['CYSA_MYCTU', 'P71746_MYCTU', 'P71745_MYCTU', 'MODC_MYCTU']",0,[],0,[],0,[]
CYT-D-UBIOX-CPLX,COG1271,COG1294,,,,,,,,,,,,,,,,,,,,,,,,,,1,"['CYDB_ECOLI', 'CYDA_ECOLI', 'APPC_ECOLI', 'APPB_ECOLI']",1,"['L7N662_MYCTU', 'O06139_MYCTU']",0,[],0,[],0,[]
FORMHYDROGI-CPLX,COG1740,COG0374,COG1969,,,,,,,,,,,,,,,,,,,,,,,,,1,"['MBHT_ECOLI', 'MBHS_ECOLI', 'MBHL_ECOLI', 'CYBH_ECOLI', 'MBHM_ECOLI']",0,[],0,[],0,[],0,[]
PC00084,COG2197,COG2771,,,,,,,,,,,,,,,,,,,,,,,,,,1,"['RCSA_ECOLI', 'CSGD_ECOLI', 'PDEL_ECOLI', 'FIMZ_ECOLI', 'BGLJ_ECOLI', 'DCTR_ECOLI', 'SDIA_ECOLI', 'NARP_ECOLI', 'YEII_ECOLI', 'UVRY_ECOLI', 'RCSB_ECOLI', 'UHPA_ECOLI', 'NARL_ECOLI']",1,"['O53720_MYCTU', 'O53646_MYCTU', 'Y890_MYCTU', 'O33269_MYCTU', 'NARL_MYCTU', 'O53213_MYCTU', 'DEVR_MYCTU', 'Q11028_MYCTU']",0.5,['Q9CBP3_MYCLE'],0,[],0,[]
CPLX0-1163,COG1220,COG5405,,,,,,,,,,,,,,,,,,,,,,,,,,1,"['HSLU_ECOLI', 'HSLV_ECOLI']",0,[],0,[],1,"['HSLU_BUCAI', 'HSLV_BUCAI']",1,"['HSLV_BUCCC', 'HSLU_BUCCC']"
CPLX0-2201,COG3064,COG0811,COG0848,COG0823,COG1729,COG2885,,,,,,,,,,,,,,,,,,,,,,1,"['EXBB_ECOLI', 'EXBD_ECOLI', 'TOLB_ECOLI', 'PAL_ECOLI', 'TOLA_ECOLI', 'OMPA_ECOLI', 'TOLR_ECOLI', 'YIAD_ECOLI', 'TOLQ_ECOLI', 'CPOB_ECOLI', 'YFIB_ECOLI']",0.166666667,['ARFA_MYCTU'],0,[],0.166666667,['OMPA_BUCAI'],0.166666667,['Q057M0_BUCCC']
CPLX0-1242,COG2337,COG2336,,,,,,,,,,,,,,,,,,,,,,,,,,1,"['CHPB_ECOLI', 'MAZE_ECOLI', 'MAZF_ECOLI']",0.5,"['MAZF3_MYCTU', 'MAZF5_MYCTU', 'MAZF7_MYCTU', 'MAZF9_MYCTU', 'MAZF1_MYCTU', 'MAZF4_MYCTU', 'MAZF6_MYCTU', 'MAZF2_MYCTU']",0,[],0,[],0,[]
NITRATREDUCTZ-CPLX,COG1140,COG5013,COG2181,,,,,,,,,,,,,,,,,,,,,,,,,1,"['NARV_ECOLI', 'NARY_ECOLI', 'NARI_ECOLI', 'NARG_ECOLI', 'NARH_ECOLI', 'NARZ_ECOLI']",1,"['NARX_MYCTU', 'O06562_MYCTU', 'O06560_MYCTU', 'NARG_MYCTU']",0,[],0,[],0,[]
FHLMULTI-CPLX,COG0243,COG3262,COG1142,COG3260,COG1143,COG0651,COG0650,,,,,,,,,,,,,,,,,,,,,1,"['DMSA_ECOLI', 'NUOI_ECOLI', 'TORA_ECOLI', 'HYCB_ECOLI', 'HYCD_ECOLI', 'YGFT_ECOLI', 'HYFF_ECOLI', 'TORZ_ECOLI', 'HYCC_ECOLI', 'HYFG_ECOLI', 'HYCG_ECOLI', 'BISC_ECOLI', 'HYFH_ECOLI', 'HYDN_ECOLI', 'FDHF_ECOLI', 'HYFB_ECOLI', 'YNFE_ECOLI', 'HYFA_ECOLI', 'HYCF_ECOLI', 'YGFS_ECOLI', 'FDOG_ECOLI', 'HYCE_ECOLI', 'FDNG_ECOLI', 'HYFI_ECOLI', 'YSAA_ECOLI', 'AEGA_ECOLI', 'NAPA_ECOLI', 'HYFC_ECOLI', 'YDEP_ECOLI']",0.857142857,"['Q10883_MYCTU', 'Y2900_MYCTU', 'Q10884_MYCTU', 'Q10881_MYCTU', 'I6XUD2_MYCTU', 'L0T2Z1_MYCTU', 'O06817_MYCTU', 'NUOI_MYCTU', 'Y051_MYCTU']",0,[],0.142857143,['NUOI_BUCAI'],0.142857143,['NUOI_BUCCC']
ABC-19-CPLX,COG4148,COG4149,COG0725,,,,,,,,,,,,,,,,,,,,,,,,,1,"['MODA_ECOLI', 'MODC_ECOLI', 'MODB_ECOLI']",0.666666667,"['MODA_MYCTU', 'MODB_MYCTU']",0,[],0,[],0,[]
NITRATREDUCTA-CPLX,COG5013,COG1140,COG2181,,,,,,,,,,,,,,,,,,,,,,,,,1,"['NARV_ECOLI', 'NARY_ECOLI', 'NARI_ECOLI', 'NARG_ECOLI', 'NARH_ECOLI', 'NARZ_ECOLI']",1,"['NARX_MYCTU', 'O06562_MYCTU', 'O06560_MYCTU', 'NARG_MYCTU']",0,[],0,[],0,[]
CPLX0-2502,COG1977,COG0314,,,,,,,,,,,,,,,,,,,,,,,,,,1,"['MOAD_ECOLI', 'MOAE_ECOLI']",1,"['MOAE2_MYCTU', 'MOAD_MYCTU', 'I6XWG2_MYCTU', 'MOAE1_MYCTU', 'CYSO_MYCTU', 'Q6MWY3_MYCTU', 'Q6MWY3_MYCTU']",0,[],0,[],0,[]
TAR-CPLX,COG0643,COG0835,COG0840,,,,,,,,,,,,,,,,,,,,,,,,,1,"['CHEA_ECOLI', 'MCP3_ECOLI', 'MCP2_ECOLI', 'MCP1_ECOLI', 'AER_ECOLI', 'CHEW_ECOLI', 'MCP4_ECOLI']",0,[],0,[],0,[],0,[]
TSR-CPLX,COG0835,COG0643,COG0840,,,,,,,,,,,,,,,,,,,,,,,,,1,"['CHEA_ECOLI', 'MCP3_ECOLI', 'MCP2_ECOLI', 'MCP1_ECOLI', 'AER_ECOLI', 'CHEW_ECOLI', 'MCP4_ECOLI']",0,[],0,[],0,[],0,[]
CPLX-155,COG1447,COG1455,COG1440,,,,,,,,,,,,,,,,,,,,,,,,,1,"['PTQC_ECOLI', 'PTQA_ECOLI', 'PTQB_ECOLI']",0,[],0,[],0,[],0,[]
CPLX0-1944,COG4592,COG4779,COG0609,COG1120,COG4771,COG0810,COG0811,COG0848,,,,,,,,,,,,,,,,,,,,1,"['EXBB_ECOLI', 'TONB_ECOLI', 'CIRA_ECOLI', 'EXBD_ECOLI', 'FECE_ECOLI', 'FEPC_ECOLI', 'FEPB_ECOLI', 'FHUC_ECOLI', 'FECD_ECOLI', 'FEPD_ECOLI', 'FECC_ECOLI', 'TOLR_ECOLI', 'FHUB_ECOLI', 'FEPA_ECOLI', 'TOLQ_ECOLI', 'FEPG_ECOLI']",0,[],0,[],0,[],0,[]
APP-UBIOX-CPLX,COG1271,COG1294,,,,,,,,,,,,,,,,,,,,,,,,,,1,"['CYDB_ECOLI', 'CYDA_ECOLI', 'APPC_ECOLI', 'APPB_ECOLI']",1,"['L7N662_MYCTU', 'O06139_MYCTU']",0,[],0,[],0,[]
CARBPSYN-CPLX,COG0458,COG0505,,,,,,,,,,,,,,,,,,,,,,,,,,1,"['CARB_ECOLI', 'CARA_ECOLI']",1,"['CARB_MYCTU', 'CARA_MYCTU']",1,"['CARA_MYCLE', 'CARB_MYCLE']",1,"['CARA_BUCAI', 'CARB_BUCAI']",1,"['Q057Y2_BUCCC', 'Q057Y1_BUCCC']"
ACETOLACTSYNIII-CPLX,COG0028,COG0440,,,,,,,,,,,,,,,,,,,,,,,,,,1,"['ILVH_ECOLI', 'ILVI_ECOLI', 'POXB_ECOLI', 'ILVN_ECOLI', 'ILVB_ECOLI', 'OXC_ECOLI']",1,"['ILVH_MYCTU', 'ILVG_MYCTU', 'ILVB1_MYCTU', 'O53639_MYCTU', 'ILVX_MYCTU', 'ILVB2_MYCTU']",1,"['Q7APZ1_MYCLE', 'ILVB_MYCLE', 'ILVH_MYCLE', 'Q49865_MYCLE']",1,"['ILVI_BUCAI', 'ILVH_BUCAI']",1,"['Q057T4_BUCCC', 'Q057T5_BUCCC']"
CPLX-63,COG0243,COG3005,,,,,,,,,,,,,,,,,,,,,,,,,,1,"['DMSA_ECOLI', 'TORA_ECOLI', 'TORZ_ECOLI', 'NAPC_ECOLI', 'BISC_ECOLI', 'TORC_ECOLI', 'FDHF_ECOLI', 'YNFE_ECOLI', 'FDOG_ECOLI', 'TORY_ECOLI', 'FDNG_ECOLI', 'NAPA_ECOLI', 'YDEP_ECOLI']",0.5,"['Y2900_MYCTU', 'L0T2Z1_MYCTU', 'O06817_MYCTU']",0,[],0,[],0,[]
CPLX0-2221,COG4206,COG3203,COG2885,COG1729,COG0823,COG0848,COG0811,COG3064,,,,,,,,,,,,,,,,,,,,1,"['EXBB_ECOLI', 'PHOE_ECOLI', 'EXBD_ECOLI', 'TOLB_ECOLI', 'PAL_ECOLI', 'TOLA_ECOLI', 'OMPF_ECOLI', 'OMPA_ECOLI', 'TOLR_ECOLI', 'OMPN_ECOLI', 'YIAD_ECOLI', 'OMPC_ECOLI', 'TOLQ_ECOLI', 'BTUB_ECOLI', 'CPOB_ECOLI', 'YFIB_ECOLI']",0.125,['ARFA_MYCTU'],0,[],0.25,"['OMPA_BUCAI', 'PORL_BUCAI']",0.125,['Q057M0_BUCCC']
CPLX0-1924,COG4206,COG0848,COG0811,COG0810,,,,,,,,,,,,,,,,,,,,,,,,1,"['EXBB_ECOLI', 'TONB_ECOLI', 'EXBD_ECOLI', 'TOLR_ECOLI', 'TOLQ_ECOLI', 'BTUB_ECOLI']",0,[],0,[],0,[],0,[]
ABC-2-CPLX,COG1129,COG1172,COG1879,,,,,,,,,,,,,,,,,,,,,,,,,1,"['ARAH_ECOLI', 'RBSB_ECOLI', 'TORT_ECOLI', 'RBSA_ECOLI', 'ARAF_ECOLI', 'LSRC_ECOLI', 'YTFR_ECOLI', 'YPHD_ECOLI', 'MGLA_ECOLI', 'RBSC_ECOLI', 'XYLG_ECOLI', 'ALSB_ECOLI', 'ALSC_ECOLI', 'ALSA_ECOLI', 'YPHF_ECOLI', 'YPHE_ECOLI', 'ARAG_ECOLI', 'DGAL_ECOLI', 'LSRA_ECOLI']",0,[],0.666666667,"['Q49738_MYCLE', 'Q9CCU8_MYCLE']",0,[],0,[]
SEC-SECRETION-CPLX,COG1952,COG0653,COG0201,COG1314,COG0690,COG0342,COG0341,COG1862,COG0706,,,,,,,,,,,,,,,,,,,1,"['SECG_ECOLI', 'SECY_ECOLI', 'SECD_ECOLI', 'SECB_ECOLI', 'SECA_ECOLI', 'SECF_ECOLI', 'YAJC_ECOLI', 'SECE_ECOLI', 'YIDC_ECOLI']",0.777777778,"['YIDC_MYCTU', 'YAJC_MYCTU', 'SECA1_MYCTU', 'SECG_MYCTU', 'SECF_MYCTU', 'SECA2_MYCTU', 'SECY_MYCTU', 'SECD_MYCTU']",0.888888889,"['SECE_MYCLE', 'YAJC_MYCLE', 'SECF_MYCLE', 'SECG_MYCLE', 'YIDC_MYCLE', 'SECA1_MYCLE', 'SECY_MYCLE', 'SECA2_MYCLE', 'SECD_MYCLE']",0.777777778,"['SECE_BUCAI', 'SECB_BUCAI', 'YIDC_BUCAI', 'SECY_BUCAI', 'YAJC_BUCAI', 'SECG_BUCAI', 'SECA_BUCAI']",0.333333333,"['SECA_BUCCC', 'Q057C4_BUCCC', 'Q058F6_BUCCC']"
ANTHRANSYN-CPLX,COG0147,COG0547,,,,,,,,,,,,,,,,,,,,,,,,,,1,"['TRPE_ECOLI', 'YBIB_ECOLI', 'PABB_ECOLI', 'TRPGD_ECOLI']",1,"['TRPE_MYCTU', 'TRPD_MYCTU', 'O05591_MYCTU', 'MBTI_MYCTU']",1,"['Q7AQL1_MYCLE', 'TRPE_MYCLE', 'TRPD_MYCLE']",0.5,['TRPD_BUCAI'],0,[]
MUTHLS-CPLX,COG0323,COG0249,COG3066,,,,,,,,,,,,,,,,,,,,,,,,,1,"['MUTS_ECOLI', 'MUTL_ECOLI', 'MUTH_ECOLI']",0,[],0,[],0.666666667,"['MUTS_BUCAI', 'MUTL_BUCAI']",0,[]
ABC-21-CPLX,COG1131,COG0842,,,,,,,,,,,,,,,,,,,,,,,,,,1,"['RBBA_ECOLI', 'RBBA_ECOLI', 'YHHJ_ECOLI', 'YADH_ECOLI', 'YBHS_ECOLI', 'YBHF_ECOLI', 'YBHR_ECOLI', 'YADG_ECOLI']",1,"['O33188_MYCTU', 'O33189_MYCTU', 'DRRC_MYCTU', 'FLQE1_MYCTU', 'O86311_MYCTU', 'DRRB_MYCTU', 'O86349_MYCTU', 'O53149_MYCTU', 'DRRA_MYCTU', 'ABC1_MYCTU', 'ABC1_MYCTU']",1,"['Q49938_MYCLE', 'Q49935_MYCLE', 'Q7AQH8_MYCLE', 'Q7AQH9_MYCLE', 'Q9CB71_MYCLE']",0,[],0,[]
PYRNUTRANSHYDROGEN-CPLX,COG1282,COG3288,,,,,,,,,,,,,,,,,,,,,,,,,,1,"['PNTA_ECOLI', 'PNTB_ECOLI']",1,"['P96833_MYCTU', 'P96832_MYCTU', 'P96834_MYCTU']",1,"['Q9CCZ7_MYCLE', 'Q9CCZ8_MYCLE', 'Q9CCZ6_MYCLE']",0,[],0,[]
TMAOREDUCTI-CPLX,COG3005,COG0243,,,,,,,,,,,,,,,,,,,,,,,,,,1,"['DMSA_ECOLI', 'TORA_ECOLI', 'TORZ_ECOLI', 'NAPC_ECOLI', 'BISC_ECOLI', 'TORC_ECOLI', 'FDHF_ECOLI', 'YNFE_ECOLI', 'FDOG_ECOLI', 'TORY_ECOLI', 'FDNG_ECOLI', 'NAPA_ECOLI', 'YDEP_ECOLI']",0.5,"['Y2900_MYCTU', 'L0T2Z1_MYCTU', 'O06817_MYCTU']",0,[],0,[],0,[]
CPLX0-3361,COG1905,COG1894,COG1034,,,,,,,,,,,,,,,,,,,,,,,,,1,"['NUOG_ECOLI', 'NUOF_ECOLI', 'NUOE_ECOLI']",1,"['NUOG_MYCTU', 'NUOF_MYCTU', 'NUOE_MYCTU']",0,[],1,"['NUOE_BUCAI', 'NUOF_BUCAI', 'NUOG_BUCAI']",1,"['Q057X2_BUCCC', 'Q057X1_BUCCC', 'Q057X0_BUCCC']"
GLUTAMIDOTRANS-CPLX,COG0118,COG0107,,,,,,,,,,,,,,,,,,,,,,,,,,1,"['HIS5_ECOLI', 'HIS6_ECOLI']",1,"['HIS5_MYCTU', 'HIS6_MYCTU']",1,"['HIS5_MYCLE', 'HIS6_MYCLE']",1,"['HIS6_BUCAI', 'HIS5_BUCAI']",1,"['Q058A2_BUCCC', 'Q058A4_BUCCC']"
ABC-24-CPLX,COG3842,COG1176,COG1177,COG0687,,,,,,,,,,,,,,,,,,,,,,,,1,"['YDCU_ECOLI', 'POTG_ECOLI', 'POTF_ECOLI', 'YDCT_ECOLI', 'POTA_ECOLI', 'FBPC_ECOLI', 'POTH_ECOLI', 'POTD_ECOLI', 'POTC_ECOLI', 'POTI_ECOLI', 'POTB_ECOLI']",0,[],0,[],0,[],0,[]
ABC-14-CPLX,COG4598,COG4160,COG4215,COG0834,,,,,,,,,,,,,,,,,,,,,,,,1,"['GLNH_ECOLI', 'ARGT_ECOLI', 'EVGS_ECOLI', 'HISM_ECOLI', 'HISJ_ECOLI', 'FLIY_ECOLI', 'ARTI_ECOLI', 'ARTJ_ECOLI', 'HISQ_ECOLI', 'GLTI_ECOLI', 'ARTM_ECOLI', 'ARTQ_ECOLI', 'HISP_ECOLI']",0.25,['P96257_MYCTU'],0.25,['Q9CCX0_MYCLE'],0,[],0,[]
ABC-61-CPLX,COG3127,COG4181,,,,,,,,,,,,,,,,,,,,,,,,,,1,"['YBBA_ECOLI', 'YBBP_ECOLI']",0,[],0,[],0,[],0,[]
ABC-3-CPLX,COG4215,COG4598,COG4160,COG0834,,,,,,,,,,,,,,,,,,,,,,,,1,"['GLNH_ECOLI', 'ARGT_ECOLI', 'EVGS_ECOLI', 'HISM_ECOLI', 'HISJ_ECOLI', 'FLIY_ECOLI', 'ARTI_ECOLI', 'ARTJ_ECOLI', 'HISQ_ECOLI', 'GLTI_ECOLI', 'ARTM_ECOLI', 'ARTQ_ECOLI', 'HISP_ECOLI']",0.25,['P96257_MYCTU'],0.25,['Q9CCX0_MYCLE'],0,[],0,[]
ABC-52-CPLX,COG1126,COG0765,COG4597,COG0834,,,,,,,,,,,,,,,,,,,,,,,,1,"['GLNH_ECOLI', 'ARGT_ECOLI', 'GLTK_ECOLI', 'EVGS_ECOLI', 'YECS_ECOLI', 'YECC_ECOLI', 'HISJ_ECOLI', 'YHDX_ECOLI', 'GLTJ_ECOLI', 'YHDZ_ECOLI', 'FLIY_ECOLI', 'GLNP_ECOLI', 'ARTI_ECOLI', 'ARTJ_ECOLI', 'GLNQ_ECOLI', 'GLTI_ECOLI', 'YHDY_ECOLI', 'GLTL_ECOLI']",0.25,['P96257_MYCTU'],0.25,['Q9CCX0_MYCLE'],0,[],0,[]
NITRITREDUCT-CPLX,COG2146,COG1251,,,,,,,,,,,,,,,,,,,,,,,,,,1,"['NIRB_ECOLI', 'NIRD_ECOLI', 'NORW_ECOLI', 'HCAC_ECOLI']",1,"['O53674_MYCTU', 'O53675_MYCTU']",0,[],0,[],0,[]
TRANS-CPLX-203,COG1638,COG1593,COG3090,,,,,,,,,,,,,,,,,,,,,,,,,1,"['YIAO_ECOLI', 'YIAM_ECOLI', 'YIAN_ECOLI']",0,[],0,[],0,[],0,[]
DIMESULFREDUCT-CPLX,COG0243,COG0437,COG3302,,,,,,,,,,,,,,,,,,,,,,,,,1,"['DMSA_ECOLI', 'TORA_ECOLI', 'TORZ_ECOLI', 'BISC_ECOLI', 'FDOH_ECOLI', 'FDHF_ECOLI', 'YNFE_ECOLI', 'YNFG_ECOLI', 'YNFH_ECOLI', 'NRFC_ECOLI', 'FDOG_ECOLI', 'FDNG_ECOLI', 'HYBA_ECOLI', 'YDHX_ECOLI', 'DMSC_ECOLI', 'YDHY_ECOLI', 'NAPA_ECOLI', 'DMSB_ECOLI', 'YDEP_ECOLI', 'FDNH_ECOLI']",0.333333333,"['Y2900_MYCTU', 'L0T2Z1_MYCTU', 'O06817_MYCTU']",0,[],0,[],0,[]
ABC-55-CPLX,COG0395,COG1175,COG1653,,,,,,,,,,,,,,,,,,,,,,,,,1,"['UGPA_ECOLI', 'YCJN_ECOLI', 'UGPB_ECOLI', 'YCJO_ECOLI', 'YCJP_ECOLI', 'MALF_ECOLI', 'UGPE_ECOLI']",1,"['P71896_MYCTU', 'LPQY_MYCTU', 'P71619_MYCTU', 'I6Y1U3_MYCTU', 'I6XFF3_MYCTU', 'O53484_MYCTU', 'O53485_MYCTU', 'P71894_MYCTU', 'O53483_MYCTU', 'L7N652_MYCTU', 'SUGA_MYCTU', 'SUGB_MYCTU']",1,"['Q7AQ52_MYCLE', 'Q9CBN7_MYCLE', 'Q9CBN8_MYCLE', 'Q9CCA2_MYCLE', 'Q9CBN6_MYCLE', 'Q9CCA3_MYCLE', 'Q7AQ51_MYCLE', 'Q7AQ53_MYCLE']",0,[],0,[]
ACETOLACTSYNI-CPLX,COG0028,COG0440,,,,,,,,,,,,,,,,,,,,,,,,,,1,"['ILVH_ECOLI', 'ILVI_ECOLI', 'POXB_ECOLI', 'ILVN_ECOLI', 'ILVB_ECOLI', 'OXC_ECOLI']",1,"['ILVH_MYCTU', 'ILVG_MYCTU', 'ILVB1_MYCTU', 'O53639_MYCTU', 'ILVX_MYCTU', 'ILVB2_MYCTU']",1,"['Q7APZ1_MYCLE', 'ILVB_MYCLE', 'ILVH_MYCLE', 'Q49865_MYCLE']",1,"['ILVI_BUCAI', 'ILVH_BUCAI']",1,"['Q057T4_BUCCC', 'Q057T5_BUCCC']"
ABC-4-CPLX,COG4161,COG4160,COG4215,COG0834,COG0834,,,,,,,,,,,,,,,,,,,,,,,1,"['GLNH_ECOLI', 'ARGT_ECOLI', 'EVGS_ECOLI', 'HISM_ECOLI', 'HISJ_ECOLI', 'FLIY_ECOLI', 'ARTI_ECOLI', 'ARTJ_ECOLI', 'HISQ_ECOLI', 'GLTI_ECOLI', 'ARTM_ECOLI', 'ARTQ_ECOLI', 'ARTP_ECOLI']",0.4,['P96257_MYCTU'],0.4,['Q9CCX0_MYCLE'],0,[],0,[]
ASPCARBTRANS-CPLX,COG0540,COG1781,,,,,,,,,,,,,,,,,,,,,,,,,,1,"['PYRI_ECOLI', 'PYRB_ECOLI']",0.5,['PYRB_MYCTU'],0.5,['PYRB_MYCLE'],1,"['PYRB_BUCAI', 'PYRI_BUCAI']",0,[]
CPLX0-7910,COG2927,COG3050,,,,,,,,,,,,,,,,,,,,,,,,,,1,"['HOLC_ECOLI', 'HOLD_ECOLI']",0,[],0,[],0,[],0,[]
CPLX0-7958,COG4778,COG3625,COG3624,COG3626,,,,,,,,,,,,,,,,,,,,,,,,1,"['PHNI_ECOLI', 'PHNL_ECOLI', 'PHNG_ECOLI', 'PHNH_ECOLI']",0,[],0,[],0,[],0,[]
ABC-60-CPLX,COG1172,COG1879,COG1129,,,,,,,,,,,,,,,,,,,,,,,,,1,"['ARAH_ECOLI', 'RBSB_ECOLI', 'TORT_ECOLI', 'RBSA_ECOLI', 'ARAF_ECOLI', 'LSRC_ECOLI', 'YTFR_ECOLI', 'YPHD_ECOLI', 'MGLA_ECOLI', 'RBSC_ECOLI', 'XYLG_ECOLI', 'ALSB_ECOLI', 'ALSC_ECOLI', 'ALSA_ECOLI', 'YPHF_ECOLI', 'YPHE_ECOLI', 'ARAG_ECOLI', 'DGAL_ECOLI', 'LSRA_ECOLI']",0,[],0.666666667,"['Q49738_MYCLE', 'Q9CCU8_MYCLE']",0,[],0,[]
CPLX-3944,COG4772,COG3712,,,,,,,,,,,,,,,,,,,,,,,,,,1,"['FECR_ECOLI', 'FECA_ECOLI']",0,[],0,[],0,[],0,[]
SUCCCOASYN,COG0074,COG0045,,,,,,,,,,,,,,,,,,,,,,,,,,1,"['SUCC_ECOLI', 'FDRA_ECOLI', 'SUCD_ECOLI', 'YAHF_ECOLI']",1,"['SUCD_MYCTU', 'SUCC_MYCTU']",1,"['Q7AQN6_MYCLE', 'SUCC_MYCLE']",0,[],0,[]
ABC-10-CPLX,COG1120,COG0609,COG4779,COG4592,,,,,,,,,,,,,,,,,,,,,,,,1,"['FECE_ECOLI', 'FEPC_ECOLI', 'FEPB_ECOLI', 'FHUC_ECOLI', 'FECD_ECOLI', 'FEPD_ECOLI', 'FECC_ECOLI', 'FHUB_ECOLI', 'FEPG_ECOLI']",0,[],0,[],0,[],0,[]
