P46133,ENOG4105CFC;COG2978;
P52006,ENOG4108RJ7;COG0494;
P43337,ENOG4105P8F;COG0494;
P0AFC3,ENOG4105KWU;COG0838;
P33594,ENOG4105EFJ;COG1124;
P0A6Z6,ENOG4105MRR;COG0864;
P05055,ENOG4105C62;COG1185;
P0ABL1,ENOG4105JJ8;ENOG411128Q;
P0AAK7,ENOG4105D3S;COG0437;
P32709,ENOG4105DVI;COG3301;
P32710,ENOG4108QKW;COG1138;
P0AFK2,ENOG4106Z1T;COG3201;
P0A729,ENOG4108UHJ;COG0424;
P0AFB5,ENOG4105CUX;COG3852;
P0AF90,ENOG4105KQT;COG3076;
P0A8R0,ENOG4108YYX;COG0684;
P0A7R9,COG0100;
P0A905,ENOG4108XTF;COG3133;
P0A8R4,ENOG4105VRX;COG2900;
P0A7T3,ENOG4105K5M;COG0228;
P0A948,ENOG4105D9U;COG1670;
P0A7L8,ENOG4105K46;COG0211;
P0A7V0,ENOG4105CE9;COG0052;
P0A7N4,COG0333;
P02359,ENOG4108UHY;COG0049;
P0AC98,ENOG4106HK8;COG1584;
P09155,ENOG4105ZIE;COG0349;
P0A9J0,ENOG4105C03;COG1530;
P27253,ENOG4105D5P;COG1884;COG2185;
P0AG07,ENOG4105DJV;COG0036;
P37351,ENOG4108YZG;COG0698;
P0ACS7,ENOG4105NYY;COG1737;
P64559,ENOG4105Y75;COG2938;
P0AG59,ENOG4105VBI;COG0199;
P0AG63,COG0186;
P0A8W2,ENOG4108US0;COG1846;
P0A9K9,ENOG4108YZY;COG1047;
P0A7S9,ENOG4108Z04;COG0099;
P32684,ENOG4105FE9;COG1187;
P10442,ENOG4108UH2;COG0164;
P00926,ENOG4105BZC;COG3048;
P77768,ENOG4105DNE;COG5464;
P31665,ENOG4108A32;COG5464;
P37014,ENOG4105DNE;COG5464;
P16095,ENOG4105EJQ;COG1760;
P30744,ENOG4105EJQ;COG1760;
P0A8V2,ENOG4107QIH;COG0085;
P61714,ENOG4108UTT;COG0054;
P0A7J7,COG0080;
P0AG44,ENOG4108ZT0;COG0203;
P36999,ENOG4105DHI;COG0500;
P63177,ENOG4105C2N;COG0566;
P0A7H6,ENOG4105F3K;COG0353;
P0A7L0,ENOG4105C64;COG0081;
P0CG19,ENOG4105ED0;COG0689;
P30014,ENOG4105DH5;COG0847;
P27434,ENOG4105HSZ;COG1426;
P0AFW8,ENOG4105M1T;COG4568;
P24255,ENOG4105DTW;COG1508;
P07014,ENOG4105E33;COG0479;
P0A7Z0,ENOG4105E66;COG0120;
P0A805,ENOG4108VCV;COG0233;
P76053,ENOG4108DG9;COG2840;
P0A7U3,COG0185;
P0AGH5,ENOG4108EU3;COG4171;
P0AFY2,ENOG4107GZ4;COG2949;
P0AGH3,ENOG4108I5W;COG4168;
P0AG90,ENOG4107QN8;COG0342;
P0AGA2,ENOG4105CGG;COG0201;
P77649,ENOG4105CNG;COG0397;
P33667,ENOG4105CR7;COG2603;
P0AGB0,ENOG4105EAC;COG0560;
P23721,ENOG4107QM1;COG1932;
P31675,ENOG4105S8Q;ENOG410XTE9;
P51025,ENOG4105C4W;COG0627;
P77249,ENOG4108AF8;ENOG410ZPTT;
P0AAD6,ENOG4105C44;COG0814;
P0AC41,ENOG4105C00;COG1053;
P0A7Z4,COG0202;
P0AG86,ENOG4105IX2;COG1952;
P14081,ENOG4105EM7;COG3276;
P77468,ENOG4105CW0;COG3188;
P75715,ENOG4108M66;ENOG410ZUTT;
P0A823,ENOG4105PW4;COG1489;
P0ACH1,ENOG4105HVQ;COG3423;
P39365,ENOG4105DT3;COG3775;
P39364,ENOG4106P19;COG0434;
P39361,ENOG4108PQ7;COG1349;
P39366,ENOG4105CN9;COG1363;
P76136,
P0AG76,ENOG4107RH8;COG0420;
P58035,ENOG4105K18;COG3414;
P30140,ENOG4105D41;COG1060;
P33026,ENOG4105S8Q;ENOG410XTE9;
P31436,ENOG4105S8Q;ENOG410XTE9;
P77718,ENOG4105D8I;COG0301;COG0607;
P33018,ENOG4105C4W;COG0627;
P0ABW5,ENOG4108WDE;ENOG4111P69;
P38052,ENOG4108ZI2;ENOG4111SMY;
P37680,ENOG4107R0P;COG0235;
P39363,ENOG4108XBJ;ENOG4111P54;
P60390,ENOG4105CGJ;COG0275;
P0A766,ENOG4105DGN;COG4657;
P46850,ENOG4105E0Y;COG1690;
P75898,ENOG4105EQP;COG2141;
P0A814,ENOG4105NHU;COG0817;
P77551,
P0AFY6,ENOG4108DQG;COG1133;
P58042,
P33012,ENOG4108S5C;COG3449;
P62395,ENOG4108SR7;ENOG4111GJA;
P30138,ENOG4105D06;COG0476;
P76149,ENOG4105C26;COG1012;
P76502,ENOG4108BY2;COG2062;
P10408,ENOG4105CI6;COG0653;
P0AG99,ENOG4105NTZ;COG1314;
P0AFY8,ENOG4107CDU;COG3057;
P0A9T0,ENOG4108JQ1;COG0111;
P25534,ENOG4105D0A;COG0654;
P0ADP7,ENOG4105JC1;COG3165;
Q46868,ENOG4105W0Z;COG2960;
P76145,ENOG4107R6G;COG4106;
P69428,ENOG4105WKS;COG1826;
P0AAB4,ENOG4105D3H;COG0043;
P0AF96,ENOG4105XEP;COG2731;
P68398,ENOG4108Z6B;COG0590;
P25535,ENOG4105EAK;COG0654;
P0A867,ENOG4105CW3;COG0176;
P0A870,ENOG4105CW3;COG0176;
P39321,ENOG4105MA0;COG2911;
P0AF67,ENOG4105K8N;COG0802;
P00954,ENOG4105C31;COG0180;
P0A8M0,ENOG4105C5S;COG0017;
P07118,ENOG4105CA4;COG0525;
P0AGJ9,ENOG4105DA0;COG0162;
P05852,ENOG4105CPM;COG0533;
P37610,ENOG4105E2B;COG2175;
P08957,ENOG4105CVR;COG0286;
P69425,ENOG4105X8U;COG1826;
P0A843,ENOG410607N;COG1826;
Q46927,ENOG4105CUZ;COG1179;
Q47539,ENOG4105EUS;COG0600;
P0ACQ7,ENOG410811B;ENOG410XW1S;
P08956,ENOG4107SCJ;COG4096;
Q47537,ENOG4106FTQ;COG4521;
P0A8M3,ENOG4105C22;COG0441;
P0ADE4,ENOG4105CFU;COG0729;
P69423,ENOG4105DCX;COG0805;
P0A821,ENOG4105C1Y;COG1921;
P0AGG4,ENOG4105K63;COG0526;
P60651,ENOG4105CYW;COG0010;
P0AGG8,ENOG4105D1U;COG0312;
P09158,ENOG4105CCX;COG0421;
P0AG24,ENOG4105CWR;COG0317;
P0AG96,ENOG4105PM1;COG0690;
P37678,ENOG4105H6Q;COG0269;
P37679,ENOG41064BZ;COG3623;
P39362,ENOG4108RK0;COG0036;
C1P611,
P0AA25,COG0526;
P0AG14,ENOG4105ERU;COG0616;
Q47622,ENOG4108HIY;COG4166;
P0AAH4,ENOG4108JQ3;COG4170;
P13458,ENOG4105EYH;COG0419;
P0AG93,ENOG4107RAB;COG0341;
P76423,ENOG4105C4U;COG2145;
P00448,ENOG4105CK4;COG0605;
P33595,ENOG4105KNR;COG4533;
C1P5Z7,
P0AEU7,ENOG4108RFI;COG2825;
P0A828,ENOG4108RPN;COG2922;
Q46755,ENOG4108YY7;COG3094;
P16456,ENOG4105D4F;COG0709;
P0AFQ5,ENOG4107YYT;COG0251;
P58041,
P76158,ENOG4108YV9;ENOG4111KD4;
P0AFX9,ENOG4105VQK;COG3026;
P0A6U5,ENOG4105D28;COG0357;
P75893,ENOG4107YAQ;COG1853;
P0ADX9,ENOG4106H78;COG0742;
P39406,ENOG4105D8J;COG2813;
P38104,ENOG4105CXK;COG4948;
P0AG74,ENOG4106CZA;COG4570;
P75719,ENOG4105SZK;ENOG4111VX3;
P38105,ENOG4105CPQ;COG1063;
P77179,ENOG4105DZB;COG4660;
P77285,ENOG4108UQQ;COG4659;
P38035,ENOG4105CYB;COG4650;
P75897,ENOG4106XMA;COG1335;
P0A809,ENOG4105KA4;COG0632;
P0A9T4,ENOG4105CPC;COG0667;
P02358,ENOG4108ZDX;COG0360;
P0AFX4,ENOG4107MNS;COG3160;
P0DPC7,
P76273,ENOG4105CYJ;COG0144;COG3270;
P68567,ENOG4105FFN;ENOG410XPRJ;
P0ACU2,ENOG4108R86;COG1309;
P75895,ENOG41074FZ;COG0596;
P0DMC9,ENOG4107TKS;COG2771;
P60723,COG0088;
P0AGB3,ENOG4105DEK;COG0568;
P13445,ENOG4105DG1;COG0568;
P37194,ENOG4105Y4Z;COG3065;
P0AGC3,ENOG4107SC1;COG0741;
P0A7W7,COG0096;
P0ACM2,ENOG4107XBN;COG1802;
P77223,ENOG4108R3D;COG2878;
P0AA43,ENOG4105I08;COG1187;
P76182,ENOG4105D6A;COG4658;
P77611,ENOG4107QTR;COG4656;
P75894,ENOG4108RDT;COG0778;
P05719,ENOG4107XZC;COG0732;
P0A812,ENOG4105CKJ;COG2255;
P75892,ENOG4105C2W;COG2233;
C1P601,ENOG410762J;ENOG410Z3CV;
P0AAH8,ENOG4108JQ2;COG4167;
P76350,ENOG4105CSH;ENOG410XP7I;
P38392,
P0AGM5,ENOG41063JG;COG2912;
P0C093,ENOG4108ENE;ENOG410XQXX;
P08395,ENOG4105D07;COG0616;
P77754,ENOG4108SPG;COG3678;
P0A9V8,ENOG4105CF3;COG2084;
A5A627,
P09184,ENOG41090BB;COG3727;
P30136,ENOG4105CBF;COG0422;
P0A850,ENOG4105DEA;COG0544;
P0A8I5,ENOG4105CZ1;COG0220;
P52097,ENOG4105D3U;COG0037;
P0A862,ENOG4108V1J;COG2077;
P0A873,ENOG4105D6X;COG0336;
P25397,ENOG41088CC;COG0500;
P0AGG2,ENOG4105C29;COG1946;
P76155,ENOG4105UZW;ENOG4111ZCI;
O32583,ENOG4105WHD;COG2104;
P31142,ENOG4105KHC;COG2897;
P0AFS5,ENOG4105DSF;COG0628;
P36673,ENOG4105D4X;COG1609;
P62601,ENOG4105E53;COG1626;
P23849,ENOG4105D37;COG0168;
P28634,ENOG4108R96;COG1720;
P28904,ENOG4105CG3;COG0366;
P23003,ENOG4107R9T;COG2265;
P0AGJ7,ENOG4108UIQ;COG0219;
P0A7K2,ENOG4105KBC;COG0222;
P27431,ENOG4105EZE;COG2850;
P0A8T7,ENOG4105D27;COG0086;
P76104,ENOG4105CFP;COG0826;
P55135,ENOG4105BZT;COG2265;
P0AA37,ENOG4105D3G;COG0564;
P33643,ENOG4105C34;COG0564;
P37765,ENOG4105FE9;COG1187;
P0A776,ENOG4105EJF;COG0494;
P62399,ENOG4105CW6;COG0094;
P0A7R1,ENOG4105K9Q;COG0359;
P0ADR6,ENOG4105EZ6;COG2933;
P75876,ENOG4105DR4;COG1092;
P0AA39,ENOG4105EI2;COG0564;
P0A7Q6,COG0257;
P37634,ENOG4105D6S;COG2961;
P52129,ENOG4106K8T;ENOG410YAX4;
P31667,ENOG4105DNE;COG5464;
P07026,ENOG4105VJY;COG2771;
P0A7R5,ENOG4108Z10;COG0051;
P0AFW4,ENOG4105NXH;COG0782;
P52045,ENOG4108M7F;COG1024;
P52043,ENOG4105CYC;COG0427;
P21499,ENOG4105C40;COG0557;
P0ACI0,ENOG4105UEI;COG2207;
P75782,ENOG4105EBA;COG3129;
P42596,ENOG4105D8J;COG2813;
P0A8I8,ENOG4108UXA;COG1576;
P10100,ENOG4105K6T;COG0797;
P75966,ENOG4108R99;COG1187;
P0A7M2,ENOG4105KDC;COG0227;
P0AG55,ENOG4108R5J;COG0097;
P0C0R7,ENOG4105F7M;COG0293;
P75864,ENOG4105C4H;COG0116;COG1092;
Q57261,ENOG4106NZV;COG0585;
P0AA41,ENOG4105DR9;COG0564;
P77326,
P77087,
P76256,ENOG41072GX;COG1214;
P45748,ENOG4105EK0;COG0009;
P00904,ENOG4108EFP;COG0512;COG0547;
P0AC35,ENOG4107GFK;COG1838;
P45463,ENOG4105EJC;ENOG410XNQA;
P0AB18,ENOG4108Z0T;COG2920;
P0A877,ENOG4105F6H;COG0159;
P13482,ENOG4105E53;COG1626;
P00895,ENOG4105CRQ;COG0147;
P60778,ENOG4106DTQ;COG0477;
P0A890,ENOG41082K8;COG0425;
P45532,ENOG4108ZAT;COG1553;
P0AGI8,ENOG4105C1A;COG0569;
P00909,ENOG4105DK0;COG0134;COG0135;
P45531,ENOG4108ZKU;COG2923;
P27859,ENOG4105F8V;COG0084;
P07913,ENOG4105CPQ;COG1063;
P0A8N5,ENOG4105CRK;COG1190;
P0A879,ENOG4105CG0;COG0133;
P0AE01,ENOG4105CVS;COG0565;
P00959,ENOG4105CKH;COG0073;COG0143;
P08312,ENOG4105CSS;COG0016;
P0A8L1,ENOG4105CGR;COG0172;
P04805,ENOG4105C20;COG0008;
P07395,ENOG4105C6A;COG0072;COG0073;
P39394,ENOG4105FU6;ENOG4111QQF;
P11875,ENOG4105C75;COG0018;
P07813,ENOG4105C8T;COG0495;
P16659,ENOG4105C90;COG0442;
P00962,ENOG4105CX6;COG0008;
P00961,ENOG4105C38;COG0751;
P31825,ENOG4107S47;COG4123;
P0A8N3,ENOG4105CRK;COG1190;
P60906,ENOG4105CUT;COG0124;
P0AFX7,ENOG41069PW;COG3073;
P0AGL7,ENOG4105QF0;COG1385;
P75817,ENOG4107SFS;COG2265;
P0A7Y8,ENOG4105NVJ;COG0594;
P0A7X3,COG0103;
P0AGD1,ENOG4108Z7T;COG2032;
P0A7V3,ENOG4105CKE;COG0092;
P36929,ENOG4105CYJ;COG0144;
P67087,ENOG4105CU0;COG0313;
P0AFR0,ENOG4105D78;COG1752;
P0AEV1,ENOG4105I93;COG0784;
P52108,ENOG4107EXC;COG0745;
P0A7U7,ENOG4105KQV;COG0268;
P0A7V8,ENOG4105G6W;COG0522;
P46187,ENOG4105WMJ;COG3086;
P0AEH1,ENOG4105DZP;COG0750;
P46849,ENOG4105CKX;COG0430;
P52130,ENOG4106BHJ;ENOG410Y1RN;
P0AG67,ENOG4105CAV;COG0539;
P21338,ENOG4105KTS;COG3719;
P39286,ENOG4105E06;COG1162;
P0AGB6,ENOG4105EMN;COG1595;
P0A800,ENOG4105VFG;COG1758;
P0A7W1,COG0098;
P68679,COG0828;
P06992,ENOG4105D1X;COG0030;
P18392,ENOG4105JJR;ENOG4111IA6;
P36979,ENOG4105C55;COG0820;
P0A7Y4,ENOG4108UMW;COG0328;
P0ABG7,ENOG4105CNI;COG0772;
P30137,ENOG4108UV6;COG0352;
P0AG00,ENOG4105SFE;COG3765;
P31549,ENOG4106SMU;COG1178;
P0ADA1,ENOG4108UJV;COG2755;
P07464,ENOG4108UW5;COG0110;
P71244,ENOG4105G1A;ENOG4110WUJ;
P31550,ENOG4105DP9;COG4143;
P71243,ENOG4107T8Q;COG0438;
P76422,ENOG4105DWF;COG0351;
P0AGG0,ENOG4105CG2;COG0611;
P37025,ENOG4107XID;COG1514;
P75948,ENOG4108RUM;COG0510;
P25396,ENOG4108NKP;COG1275;
P00934,ENOG4105D98;COG0498;
P0AGL2,ENOG4105KME;COG0251;
P31548,ENOG4107T0D;COG3840;
P0A847,ENOG4105C6U;COG0343;
P0AGF6,ENOG4105C7B;COG1171;
P11868,ENOG4105C6H;COG0282;
P0AAD8,ENOG4108MST;COG0814;
P42632,ENOG4105C6N;COG1882;
P42630,ENOG4105EJQ;COG1760;
P11866,
P77163,ENOG4105UZW;ENOG4111ZCI;
Q47538,ENOG4108IY8;COG4525;
P77699,ENOG4105UZW;ENOG4111ZCI;
P09153,ENOG4108US3;ENOG4111IKE;
P80645,ENOG4105D4R;COG2141;
P0ABV6,COG0848;
P77689,ENOG4105JRK;COG0719;
P36662,ENOG4108SBI;COG3381;
P38684,ENOG4106WF9;COG0745;
P39453,ENOG4105BZU;COG0784;COG2198;
P0A858,ENOG4105CP7;COG0149;
P32668,ENOG4108XC3;COG3738;
P25743,ENOG4105EZI;COG2095;
P0A8Z0,ENOG4105NAU;COG1607;
P0A710,ENOG4107835;COG2917;
P0A8R7,ENOG4106K28;COG3768;
P0AFR7,ENOG4105HS6;COG1175;
P0AA70,ENOG4105FDR;ENOG4111I0A;
P31063,ENOG4108W9D;ENOG4111MXI;
P31064,ENOG41066VF;COG2391;
P46125,ENOG4105CKW;COG2354;
P76318,ENOG4108RAV;COG2135;
P76319,ENOG4108HF7;COG0454;
P76334,ENOG4105Y0K;ENOG411246N;
P76335,
P33011,ENOG4105DR8;COG1289;
P33015,ENOG4105CUC;COG2391;
P76347,ENOG4105TNG;ENOG410XQE6;
P76349,
P0A8A2,ENOG4105CDY;COG0217;
P76361,ENOG4108PZQ;ENOG410XXEN;
P76362,ENOG4108YGG;COG2003;
P55734,ENOG4108V62;COG0607;
P0ADE8,ENOG4106XY2;COG0354;
P38521,ENOG41090ED;COG3171;
P52048,ENOG4105DXH;COG1063;
P52052,ENOG4105CZX;COG2805;
P45420,ENOG4105E6S;ENOG410XPN5;
P0ACT6,ENOG4105XEA;COG1309;
P36682,ENOG4108NST;ENOG410ZJQ8;
P0A8U2,ENOG4107NA1;COG3021;
P0AA99,ENOG4105F7V;COG3034;
Q47151,ENOG4108YS0;COG0791;
Q47157,ENOG41065DM;ENOG410XTZP;
P77206,ENOG4106H6R;ENOG410XPYV;
P77199,
P77562,ENOG4107QS8;ENOG410XS0Z;
P75697,
P0AB49,ENOG4105MGX;ENOG4111VC3;
P76042,ENOG4105WEM;COG1653;
P77716,ENOG4105DRW;COG0395;
P76043,ENOG4107RRD;COG1063;
P76044,ENOG4107TYA;COG1082;
P77503,ENOG4105CK5;COG0673;
P77481,ENOG4108IJ9;COG3839;
P0AA31,COG0425;
P46144,ENOG4105EST;COG1418;
P76322,COG4886;
P33014,COG0425;
P76352,ENOG4105UQX;COG0534;
P76359,
P0AD53,ENOG4108WMJ;ENOG4111KTT;
P43667,ENOG4105ZED;ENOG4111UT4;
P0ADQ7,ENOG4108ZQZ;COG4575;
P76616,ENOG4105E54;COG0366;
P77295,ENOG41080HT;COG0640;
P76628,
P76630,ENOG4108UMN;COG1296;
P0ADS6,ENOG4105MPN;COG2968;
P24197,ENOG4105C8E;COG3384;
P64594,ENOG4108R8Z;ENOG4111FPC;
P64616,ENOG4105UNR;COG2732;
P64590,ENOG4105KAF;COG3152;
P46474,ENOG4105QD6;COG3164;
P45566,ENOG4105RG0;COG3924;
P67660,ENOG4105CWB;ENOG410XP36;
P45767,ENOG4105EZ7;COG4597;
P37664,ENOG4105HNP;COG0454;
P37665,ENOG4108ZG0;COG2885;
P25714,ENOG4105DHW;COG0706;
P0ADK6,ENOG4105NUP;ENOG41127FW;
P0ADP0,ENOG4105DFC;COG1011;
P27843,ENOG4106WR8;ENOG410YS6D;
P32681,ENOG4108T8B;ENOG4111HZZ;
Q6BEX5,
C1P621,
P0AF59,ENOG4105VR1;COG3592;
P39337,ENOG4108MJ3;ENOG4110MQC;
P39382,ENOG4108ZK4;COG3204;
P39355,
P39390,ENOG4106DIZ;COG5457;
P39391,ENOG4108YUH;ENOG4111M9Y;
P39393,
P0AF86,ENOG4105KIT;ENOG41120AN;
P39359,ENOG4105CDP;COG0329;
P56257,
Q2EEU2,ENOG4105YCT;COG3811;
P77162,ENOG4106J9S;ENOG410Y9JJ;
P75917,
P0AAA5,
P0DPC8,
P75971,
P75972,
P75973,ENOG4107712;ENOG410ZF6G;
P75994,ENOG410738I;ENOG410Z8YD;
P0AB46,ENOG410658X;ENOG4112AJ2;
P76115,ENOG4105CHB;COG1629;
P76116,ENOG4108NS2;COG3391;
A5A612,
P64459,ENOG4105RR0;ENOG41120CN;
A5A615,
P0DPO5,
Q7DFV4,
P76091,ENOG4108HPI;COG4589;
P76093,ENOG41077RS;COG0671;COG2453;
P0DPO7,
A5A618,
P76193,ENOG4107N1Q;COG1376;
Q2EES1,
P76146,ENOG4105FFC;COG3781;
C1P603,
P33368,ENOG4105H9W;COG1028;
P64612,ENOG4105D6Z;COG1485;
P0AF36,ENOG4105N4M;COG3074;
P75757,ENOG4105PGM;COG1230;
Q46801,ENOG4108UTP;COG2080;
P0A8P8,ENOG4105C13;COG4974;
P38506,ENOG4105CIQ;COG0258;
P46122,ENOG4108KIC;ENOG410XTE8;
P0AFQ7,ENOG4105F8V;COG0084;
P76000,
P76001,ENOG4105S66;ENOG4111XFY;
P0AB43,ENOG4105VNG;COG3100;
P75954,ENOG4107N1Q;COG1376;
P75955,ENOG4105IQC;COG4763;
P0A8L5,ENOG4108ZZ3;COG2983;
P75988,ENOG41064WM;COG5562;
P0AB52,ENOG41090EX;COG1553;
P75991,ENOG4105WKE;ENOG41123BX;
P77726,ENOG4107RDB;COG0477;
P0ADA5,ENOG4105IEY;COG3056;
P77735,ENOG4105CPC;COG0667;
P0A8E7,ENOG4108VPT;COG1666;
P0ADT8,ENOG4106MWK;COG3103;
Q46861,ENOG4105CCT;COG1032;
P42640,ENOG4105DIJ;COG2194;
P0AGK4,ENOG4105HBR;COG1534;
P45472,ENOG41082IR;COG2827;
P45421,
P67624,ENOG4105YP7;COG3089;
P11865,
P11864,
A5A625,
P37674,ENOG4105XDZ;COG3090;
P37681,ENOG4105GNX;COG3713;
P0DPM8,
P39376,ENOG4107YNJ;ENOG410XP86;
P0AEH8,ENOG4108P2H;COG0700;
P39408,ENOG4105EYA;COG0084;
P0ADD9,ENOG410759A;ENOG410ZDAZ;
P0A8D6,ENOG4108UVJ;COG2110;
P0CD93,
P0DPO2,
P76011,ENOG4105Y3U;COG2261;
P64448,ENOG410689M;ENOG410XVQC;
P76222,ENOG4107ZN8;COG2128;
P76223,ENOG4105VNH;COG4134;
P76224,ENOG4105CXZ;COG4135;
P76909,ENOG4108VGW;COG4136;
P78067,ENOG4107RM6;COG2897;
P76228,ENOG41065FB;ENOG4112A1H;
P76169,ENOG4105KK4;COG1742;
P0A8W5,ENOG4108UJU;COG1678;
P0DPP5,
C1P613,
P77475,ENOG4107VXZ;COG0637;
P0AAQ2,ENOG4105N1F;ENOG4111U2E;
Q46948,ENOG4107S0N;COG0693;
P76017,ENOG4105I1J;COG3468;
P37052,ENOG4105K5B;COG3012;
P77615,ENOG4105FKQ;COG1609;
P76046,ENOG4105CM6;COG3106;
P76049,ENOG4105ENX;COG1073;
P0ADT2,ENOG4105F1G;COG5463;
P0ADS9,ENOG4105K33;ENOG410XSUS;
P64564,ENOG4108VIA;COG0762;
P0ADT5,ENOG4106032;COG0754;
P39834,ENOG4105H8W;ENOG4111SNU;
P45475,ENOG4106RZ4;COG0826;
P0ADV5,ENOG4105DEN;COG2141;
P28722,ENOG4108S1B;ENOG4111FTJ;
P0AA73,ENOG4105QYV;COG0697;
P42624,ENOG4108CNN;COG1741;
P42625,ENOG4106D80;ENOG410Y53A;
P45766,
P45768,ENOG4105DRP;COG0765;
P45769,ENOG4105CDA;COG1126;
P37673,ENOG4108R66;COG2731;
P37682,ENOG4108Q2M;ENOG410ZXM0;
P0AFV0,ENOG4105EFX;COG1566;
P32108,ENOG4105FP6;ENOG4111NAV;
P0DPM9,
P0A8Y1,ENOG4105PAD;COG1011;
Q9XB42,ENOG4105ZS6;ENOG4112BCS;
P77692,ENOG4108X3P;ENOG4111PBJ;
Q47272,
Q47268,
P75688,
P0A898,ENOG4105KGE;COG0319;
P29013,ENOG4105ED1;COG2719;
P0AB35,ENOG4107MBR;COG3134;
P75946,ENOG41090DQ;COG5633;
P0A8E1,ENOG4105D0Y;COG3150;
P75961,
P76004,ENOG4105FBJ;COG0179;
P76023,
P0ABU2,ENOG4105C3G;COG0012;
P28638,ENOG4105CEC;COG0863;
P36677,ENOG4105VTS;ENOG41122AH;
P64592,ENOG4105KAF;COG3152;
P64619,ENOG41061ME;ENOG4112BHE;
P64622,ENOG4105XCM;ENOG41124RN;
P31437,ENOG4108UZ3;COG0697;
P37683,ENOG4105EFX;COG1566;
P32109,COG3209;
P0ADP9,ENOG4105PC1;COG3084;
P32128,COG5339;
P32129,ENOG4106HNH;COG0204;
P31467,ENOG4107UB3;COG0637;
P31470,ENOG4107VKM;COG0363;
P0ADN6,ENOG4105S7Z;COG5567;
P32167,ENOG4107S01;ENOG41115XM;
P23305,ENOG4105CT0;COG3159;
P58036,
P0AF54,ENOG41062QD;COG3162;
P16681,ENOG4108SQ4;COG2764;
P0A8X0,ENOG4105N42;COG3028;
P39282,ENOG4107SC7;ENOG410XRYB;
P39379,ENOG41074DU;COG3314;
P39381,ENOG4105CBP;ENOG410XNVC;
P0AF73,COG3242;
P39332,ENOG4108UQ8;COG0251;
P39274,ENOG410830R;COG2388;
P0ADD7,ENOG4108N8T;ENOG4110JED;
P39407,ENOG4108NRW;COG4667;
P77414,ENOG41090RK;COG0463;
P09099,ENOG4105CMG;COG1070;
P31434,ENOG4105CJQ;COG1501;
P45470,ENOG4107R7Y;COG0693;
P67762,ENOG4108ZPB;COG3787;
Q2M7R5,ENOG41060ND;ENOG4112BWQ;
P37675,ENOG4105CG6;COG1593;
P37676,ENOG4105DR6;COG1638;
P37617,ENOG4105C59;COG2217;
P64423,ENOG4107RX3;COG0598;
P0ACS5,ENOG4105W1Y;COG0789;
P39172,ENOG4105NXV;COG4531;
P39832,ENOG4105FAV;COG1108;
P0A9X1,ENOG4105FDK;COG1121;
P27829,ENOG4107QQG;COG0677;
P0AD19,ENOG41067MG;COG1346;
P33941,ENOG4105IBP;COG4615;
P37669,ENOG4105MEV;COG3274;
P32057,ENOG4106CD9;COG0438;
C1P609,
P27828,ENOG4105EAG;COG0381;
P0A930,ENOG4105DAY;COG1596;
P77377,ENOG4105PSV;COG2244;
P0AAA7,ENOG4105EGZ;COG2244;
P0AGM9,ENOG4105C2W;COG2233;
P67444,ENOG4105C2W;COG2233;
P45563,ENOG4107U5R;COG0005;
P36667,
P0ACD2,ENOG4108Z90;COG0110;
P37388,ENOG4105C2J;COG1129;
P0ABT8,ENOG4108Q5Y;ENOG410Y0KE;
P0AFZ7,ENOG4105D37;COG0168;
P0A881,ENOG4105R9M;COG2973;
P39414,ENOG4107QPK;COG0471;
P04693,ENOG4105CGF;COG1448;
P32132,ENOG4105CI3;COG1217;
P0AGK1,ENOG4105C4G;COG0382;
P0A887,ENOG4105DDZ;COG2226;
P04152,ENOG4105CQ3;COG0389;
P0A8I3,ENOG4105D1Q;COG3022;
P39220,
P39221,
P0DPM5,
P76372,ENOG4108KPN;COG3765;
Q46800,ENOG4108HR6;COG1319;
P0A9M5,COG0503;
P56258,ENOG4105F18;ENOG410XT9P;
P71237,ENOG4107RXY;COG0438;
P71238,ENOG4108NYJ;ENOG410ZIK0;
P37749,ENOG4105GH9;ENOG4111KQ1;
P77300,ENOG4107HP6;COG1414;
P27835,ENOG4105DAD;ENOG410XT3V;
P0AAB2,ENOG4105KJF;COG0394;
P45562,ENOG4105EAA;ENOG410ZVFU;
Q46814,ENOG4105C7W;COG1529;COG2080;
P0AGF4,ENOG4107QNK;ENOG410XNQK;
P0AGI4,ENOG4108HWW;COG4214;
P37387,ENOG4105DFW;COG4213;
P0ACI3,ENOG4105T16;ENOG410XQWR;
P71242,ENOG4105C74;COG2327;
P0A8I1,ENOG4107Y66;COG0816;
P23841,ENOG4105CN8;ENOG410YMSV;
P00944,ENOG4105C93;COG2115;
P71241,ENOG4105D3Q;COG2148;
P37750,ENOG4108UW5;COG0110;
P27832,ENOG4108WJ1;COG0454;
P27833,ENOG4105CF4;COG0399;
P76387,ENOG4105D75;COG0489;COG3206;
Q46799,ENOG4105C7W;COG1529;
P0A8P6,ENOG4108IYS;COG4973;
P37751,ENOG4108TMJ;COG0438;
P27242,ENOG4108XNZ;COG0859;
P0ACC9,ENOG41068PY;COG1045;
P37440,ENOG4105I7Z;ENOG410XSIT;
P76373,ENOG4105C6Y;COG1004;
P39305,ENOG41064BZ;COG3623;
P0AG11,ENOG4105KT5;COG1974;
P12295,ENOG4105D5S;COG0692;
P07649,ENOG4105DI7;COG0101;
P45530,ENOG4105YKK;COG2168;
